id,status,pred_label,confidence,stage,filter_score
4259305052973040512,ANOMALY,None,0.0,Filter,0.012638
5874025049072342016,ANOMALY,None,0.0,Filter,0.015608
4119909003262093056,ANOMALY,None,0.0,Filter,0.016992
5862730796903972992,ANOMALY,None,0.0,Filter,0.017178
4515527649227821056,ANOMALY,None,0.0,Filter,0.01497
2019770944366477696,ANOMALY,None,0.0,Filter,0.009257
6053463353883951872,ANOMALY,None,0.0,Filter,0.008714
5859141544242091776,ANOMALY,None,0.0,Filter,0.018685
5852370786022224128,ANOMALY,None,0.0,Filter,0.009383
4093918506829852672,ANOMALY,None,0.0,Filter,0.008952
5939529141464649600,ANOMALY,None,0.0,Filter,0.001836
4060258160925328384,ANOMALY,None,0.0,Filter,0.000161
4108534177504003072,ANOMALY,None,0.0,Filter,0.003404
4320560769917762560,ANOMALY,None,0.0,Filter,0.010321
5858046258909811840,ANOMALY,None,0.0,Filter,0.020167
5867475533163856640,ANOMALY,None,0.0,Filter,0.01793
4518107893753396352,ANOMALY,None,0.0,Filter,0.00644
5877919587926866432,ANOMALY,None,0.0,Filter,0.015264
5861275524593483776,ANOMALY,None,0.0,Filter,0.006703
4057959700586255744,ANOMALY,None,0.0,Filter,0.000625
2021467250263356672,ANOMALY,None,0.0,Filter,0.013636
5343531201377538816,ANOMALY,None,0.0,Filter,0.004807
6001034859831654656,ANOMALY,None,0.0,Filter,0.016201
1979902309105123200,ANOMALY,None,0.0,Filter,0.005094
4283933460598421888,ANOMALY,None,0.0,Filter,0.014361
5995866223158798592,ANOMALY,None,0.0,Filter,0.000199
5931694914946793728,ANOMALY,None,0.0,Filter,0.006734
4163402212821270656,ANOMALY,None,0.0,Filter,0.017213
6071062205646182144,ANOMALY,None,0.0,Filter,0.007889
2059905592664119808,ANOMALY,None,0.0,Filter,0.014037
1824031451971426560,ANOMALY,None,0.0,Filter,0.001244
5875982007936695680,ANOMALY,None,0.0,Filter,0.005249
4160832413643090432,ANOMALY,None,0.0,Filter,0.01453
5887620097973297920,ANOMALY,None,0.0,Filter,0.003614
5236188286394537472,ANOMALY,None,0.0,Filter,0.006111
6059480465578812544,ANOMALY,None,0.0,Filter,0.023273
4159628890782695936,ANOMALY,None,0.0,Filter,0.002268
5861805832781433600,ANOMALY,None,0.0,Filter,0.035692
